Date,Open,High,Low,Close,Volume,Adj Close
2013-11-07,1078.06,1078.06,1078.06,1078.06,000,1078.06
2013-11-06,1080.00,1080.00,1076.00,1078.06,6000,1078.06
2013-11-05,1070.00,1070.00,1070.00,1070.00,000,1070.00
2013-11-04,1070.00,1070.00,1070.00,1070.00,000,1070.00
2013-11-01,1070.00,1070.00,1070.00,1070.00,000,1070.00
2013-10-31,1070.00,1070.00,1070.00,1070.00,800,1070.00
2013-10-30,1081.00,1081.00,1081.00,1081.00,000,1081.00
2013-10-29,1081.00,1081.00,1081.00,1081.00,200,1081.00
2013-10-28,1061.00,1061.00,1061.00,1061.00,000,1061.00
2013-10-25,1061.00,1061.00,1061.00,1061.00,300,1061.00
2013-10-24,1041.00,1041.00,1041.00,1041.00,000,1041.00
2013-10-23,1041.00,1041.00,1041.00,1041.00,000,1041.00
2013-10-22,1041.00,1041.00,1041.00,1041.00,100,1041.00
2013-10-21,1043.60,1043.60,1043.60,1043.60,900,1043.60
2013-10-18,1020.80,1034.90,1020.80,1034.90,10200,1034.90
2013-10-17,985.46,985.46,985.46,985.46,000,985.46
2013-10-16,985.46,985.46,985.46,985.46,000,985.46
2013-10-15,985.46,985.46,985.46,985.46,000,985.46
2013-10-14,985.46,985.46,985.46,985.46,1000,985.46
2013-10-11,973.88,973.88,973.88,973.88,000,973.88
2013-10-10,966.00,973.88,966.00,973.88,400,973.88
2013-10-09,954.40,955.52,954.40,955.52,4400,955.52
2013-10-08,979.00,979.00,979.00,979.00,000,979.00
2013-10-07,979.00,979.00,979.00,979.00,000,979.00
2013-10-04,979.00,979.00,979.00,979.00,100,979.00
2013-10-03,976.00,976.00,976.00,976.00,300,976.00
2013-10-02,981.20,981.20,975.00,975.00,700,975.00
2013-10-01,995.44,995.44,995.44,995.44,000,995.21
2013-09-30,995.44,995.44,995.44,995.44,000,995.21
2013-09-27,995.44,995.44,995.44,995.44,000,995.21
2013-09-26,995.44,995.44,995.44,995.44,1700,995.21
2013-09-25,984.60,984.60,984.60,984.60,000,984.37
2013-09-24,984.60,984.60,984.60,984.60,1900,984.37
2013-09-23,979.20,979.20,979.20,979.20,7000,978.97
2013-09-20,988.80,988.80,988.80,988.80,000,988.57
2013-09-19,988.80,988.80,988.80,988.80,000,988.57
2013-09-18,988.80,988.80,988.80,988.80,100,988.57
2013-09-17,981.30,981.30,981.30,981.30,000,981.07
2013-09-16,981.30,981.30,981.30,981.30,000,981.07
2013-09-13,981.30,981.30,981.30,981.30,000,981.07
2013-09-12,990.00,990.00,990.00,990.00,000,989.77
2013-09-11,975.00,975.00,975.00,975.00,000,974.77
2013-09-10,973.37,975.00,973.37,975.00,000,974.77
2013-09-09,966.71,967.00,965.32,967.00,1700,966.78
2013-09-06,969.00,969.00,969.00,969.00,3000,968.78
2013-09-05,992.80,992.80,992.80,992.80,000,992.57
2013-09-04,972.00,972.00,972.00,972.00,000,971.78
2013-09-03,968.87,972.00,968.87,972.00,900,971.78
2013-09-02,950.25,950.25,950.25,950.25,000,950.03
2013-08-30,950.25,950.25,950.25,950.25,000,950.03
2013-08-29,950.25,950.25,950.25,950.25,000,950.03
2013-08-28,949.55,950.25,949.55,950.25,1400,950.03
2013-08-27,967.00,967.00,967.00,967.00,000,966.78
2013-08-26,958.50,958.50,958.50,958.50,000,958.28
2013-08-23,958.50,958.50,958.50,958.50,100,958.28
2013-08-22,976.00,976.00,976.00,976.00,000,975.77
2013-08-21,976.00,976.00,976.00,976.00,100,975.77
2013-08-20,970.00,970.00,970.00,970.00,000,969.78
2013-08-19,973.00,973.00,973.00,973.00,000,972.78
2013-08-16,973.00,973.00,973.00,973.00,1200,972.78
2013-08-15,968.50,968.50,968.50,968.50,000,968.28
2013-08-14,968.50,968.50,968.50,968.50,100,968.28
2013-08-13,970.69,970.69,970.69,970.69,400,970.47
2013-08-12,962.00,962.00,962.00,962.00,000,961.78
2013-08-09,962.00,962.00,962.00,962.00,000,961.78
2013-08-08,960.20,962.00,960.20,962.00,1900,961.78
2013-08-07,955.00,955.00,955.00,955.00,000,954.78
2013-08-06,955.00,955.00,955.00,955.00,200,954.78
2013-08-05,954.00,954.00,954.00,954.00,000,953.78
2013-08-02,954.00,954.00,954.00,954.00,000,953.78
2013-08-01,954.00,954.00,954.00,954.00,000,953.78
2013-07-31,954.00,954.00,954.00,954.00,000,953.78
2013-07-30,957.24,957.24,957.24,957.24,900,957.02
2013-07-29,948.00,948.00,948.00,948.00,000,947.78
2013-07-26,948.00,948.00,948.00,948.00,000,947.78
2013-07-25,948.00,948.00,948.00,948.00,000,947.78
2013-07-24,945.00,948.00,945.00,948.00,700,947.78
2013-07-23,937.12,937.12,937.12,937.12,000,936.90
2013-07-22,937.12,937.12,937.12,937.12,900,936.90
2013-07-19,999.20,999.20,999.20,999.20,000,998.97
2013-07-18,999.20,999.20,999.20,999.20,000,998.97
2013-07-17,999.20,999.20,999.20,999.20,000,998.97
2013-07-16,999.20,999.20,999.20,999.20,000,998.97
2013-07-15,999.20,999.20,999.20,999.20,000,998.97
2013-07-12,999.20,999.20,999.20,999.20,400,998.97
2013-07-11,997.00,997.00,997.00,997.00,000,996.77
2013-07-10,997.00,997.00,997.00,997.00,000,996.77
2013-07-09,997.00,997.00,997.00,997.00,600,996.77
2013-07-08,995.00,995.00,995.00,995.00,2100,994.77
2013-07-05,977.00,977.00,977.00,977.00,000,976.77
2013-07-04,977.00,977.00,977.00,977.00,000,976.77
2013-07-03,977.00,977.00,977.00,977.00,000,976.77
2013-07-02,977.00,977.00,977.00,977.00,300,976.77
2013-07-01,963.00,963.00,963.00,963.00,000,962.55
2013-06-28,963.00,963.00,963.00,963.00,000,962.55
2013-06-27,963.00,963.00,963.00,963.00,000,962.55
2013-06-26,963.00,963.00,963.00,963.00,000,962.55
2013-06-25,963.00,963.00,963.00,963.00,000,962.55
2013-06-24,943.75,943.75,943.75,943.75,000,943.31
2013-06-21,943.75,943.75,943.75,943.75,000,943.31
2013-06-20,943.75,943.75,943.75,943.75,000,943.31
2013-06-19,943.75,943.75,943.75,943.75,000,943.31
2013-06-18,943.75,943.75,943.75,943.75,000,943.31
2013-06-17,943.75,943.75,943.75,943.75,000,943.31
2013-06-14,997.50,997.50,997.50,997.50,000,997.03
2013-06-13,997.50,997.50,997.50,997.50,000,997.03
2013-06-12,997.50,997.50,997.50,997.50,000,997.03
2013-06-11,997.50,997.50,997.50,997.50,000,997.03
2013-06-10,1005.28,1005.28,1005.28,1005.28,1500,1004.81
2013-06-07,972.00,972.00,972.00,972.00,000,971.54
2013-06-06,975.00,975.00,972.00,972.00,600,971.54
