Date,Open,High,Low,Close,Volume,Adj Close
2013-11-07,49.24,49.87,47.30,47.56,96925500,47.56
2013-11-06,50.26,50.45,48.71,49.12,67648600,49.12
2013-11-05,47.79,50.18,47.51,50.11,76668300,50.11
2013-11-04,49.37,49.75,48.02,48.22,80206200,48.22
2013-11-01,50.85,52.09,49.72,49.75,94822200,49.75
2013-10-31,47.16,52.00,46.50,50.21,248388200,50.21
2013-10-30,50.00,50.21,48.75,49.01,116674400,49.01
2013-10-29,50.73,50.79,49.25,49.40,101859700,49.40
2013-10-28,51.54,51.70,49.61,50.23,73472000,50.23
2013-10-25,53.18,53.24,51.88,51.95,45085000,51.95
2013-10-24,52.38,52.84,51.59,52.45,46775000,52.45
2013-10-23,51.75,52.25,51.13,51.90,57207000,51.90
2013-10-22,54.33,54.76,52.20,52.68,83204000,52.68
2013-10-21,54.68,54.81,53.51,53.85,58235000,53.85
2013-10-18,54.18,54.83,53.60,54.22,88260000,54.22
2013-10-17,51.12,52.22,50.95,52.21,71522000,52.21
2013-10-16,50.04,51.24,49.90,51.14,64678000,51.14
2013-10-15,49.99,51.00,49.18,49.50,81167000,49.50
2013-10-14,48.31,49.63,47.91,49.51,68781000,49.51
2013-10-11,49.18,49.87,48.79,49.11,58428000,49.11
2013-10-10,47.87,49.68,47.83,49.05,99774000,49.05
2013-10-09,47.38,47.84,45.26,46.77,147297000,46.77
2013-10-08,50.60,50.60,47.08,47.14,136081000,47.14
2013-10-07,50.73,51.29,50.40,50.52,57204000,50.52
2013-10-04,49.77,51.16,49.57,51.04,74447000,51.04
2013-10-03,50.47,50.72,49.06,49.18,82045000,49.18
2013-10-02,50.13,51.10,49.95,50.28,62834000,50.28
2013-10-01,49.97,51.03,49.45,50.42,98114000,50.42
2013-09-30,50.14,51.60,49.80,50.23,100095000,50.23
2013-09-27,50.29,51.28,49.86,51.24,81410500,51.24
2013-09-26,50.01,50.60,49.50,50.39,98220100,50.39
2013-09-25,49.23,49.54,48.46,49.46,87879700,49.46
2013-09-24,48.51,49.66,48.16,48.45,136716100,48.45
2013-09-23,47.28,47.55,46.29,47.19,75177000,47.19
2013-09-20,46.32,47.60,45.74,47.49,115508400,47.49
2013-09-19,45.51,46.05,45.23,45.98,63972400,45.98
2013-09-18,44.84,45.47,44.40,45.23,79317000,45.23
2013-09-17,42.50,45.44,42.43,45.07,91934600,45.07
2013-09-16,44.85,44.94,42.43,42.51,70424200,42.51
2013-09-13,45.04,45.08,43.93,44.31,52765300,44.31
2013-09-12,45.53,45.62,44.65,44.75,68072300,44.75
2013-09-11,43.39,45.09,43.11,45.04,72328300,45.04
2013-09-10,44.24,44.26,43.23,43.60,54540300,43.60
