Date,Open,High,Low,Close,Volume,Adj Close
2013-11-07,1022.61,1023.93,1007.64,1007.95,1679600,1007.95
2013-11-06,1025.60,1027.00,1015.37,1022.75,912900,1022.75
2013-11-05,1020.35,1031.65,1017.42,1021.52,1181400,1021.52
2013-11-04,1031.50,1032.37,1022.03,1026.11,1138800,1026.11
2013-11-01,1031.79,1036.00,1025.10,1027.04,1283300,1027.04
2013-10-31,1028.93,1041.52,1023.97,1030.58,1616400,1030.58
2013-10-30,1037.43,1037.51,1026.00,1030.42,1324100,1030.42
2013-10-29,1019.10,1036.94,1013.50,1036.24,1605000,1036.24
2013-10-28,1015.20,1023.43,1012.99,1015.00,1158700,1015.00
2013-10-25,1028.82,1028.82,1010.74,1015.20,2030500,1015.20
2013-10-24,1031.87,1040.57,1024.80,1025.55,2092100,1025.55
2013-10-23,1001.00,1034.75,1000.63,1031.41,2663200,1031.41
2013-10-22,1005.00,1013.00,995.79,1007.00,2208600,1007.00
2013-10-21,1011.46,1019.00,999.55,1003.30,3628300,1003.30
2013-10-18,976.58,1015.46,974.00,1011.41,11566400,1011.41
2013-10-17,892.99,896.90,885.73,888.79,4256600,888.79
2013-10-16,885.87,898.33,884.01,898.03,2007600,898.03
2013-10-15,875.76,885.63,874.00,882.01,1591900,882.01
2013-10-14,866.66,876.25,865.39,876.11,1243600,876.11
2013-10-11,866.03,873.48,865.30,871.99,1408900,871.99
2013-10-10,863.84,868.83,860.21,868.24,2255300,868.24
2013-10-09,856.28,862.65,842.98,855.86,2651300,855.86
2013-10-08,865.32,865.98,851.63,853.67,1943700,853.67
2013-10-07,867.45,873.99,864.11,865.74,1293600,865.74
2013-10-04,875.00,877.51,870.00,872.35,1358000,872.35
2013-10-03,888.00,894.10,872.10,876.09,2117000,876.09
2013-10-02,882.73,889.36,877.82,887.99,1495300,887.99
2013-10-01,880.25,887.67,880.05,887.00,1684800,887.00
2013-09-30,869.08,880.84,868.31,875.91,1722400,875.91
2013-09-27,874.82,877.52,871.31,876.39,1258800,876.39
2013-09-26,878.30,882.75,875.00,878.17,1259900,878.17
2013-09-25,886.55,886.55,875.60,877.23,1649000,877.23
2013-09-24,886.50,890.10,881.40,886.84,1486800,886.84
2013-09-23,896.15,901.59,885.20,886.50,1777400,886.50
2013-09-20,898.39,904.13,895.62,903.11,4345300,903.11
2013-09-19,905.99,905.99,895.40,898.39,1597900,898.39
2013-09-18,886.35,903.97,883.07,903.32,1934700,903.32
2013-09-17,887.41,888.39,881.00,886.11,1259400,886.11
2013-09-16,896.20,897.00,884.87,887.76,1336500,887.76
2013-09-13,894.50,895.68,884.84,889.07,1325400,889.07
2013-09-12,897.40,897.90,890.01,893.06,1095500,893.06
2013-09-11,888.54,896.97,886.08,896.19,1610600,896.19
2013-09-10,890.02,892.00,884.00,888.67,1287600,888.67
2013-09-09,883.73,889.75,882.42,888.05,1234600,888.05
2013-09-06,882.44,883.78,873.74,879.58,1561600,879.58
2013-09-05,873.50,879.88,871.61,879.56,1291300,879.56
2013-09-04,860.35,873.50,855.17,871.63,2041200,871.63
2013-09-03,854.36,866.19,853.95,860.38,2047600,860.38
2013-08-30,855.76,858.04,845.56,846.90,1861600,846.90
2013-08-29,849.07,860.38,848.59,855.43,1478500,855.43
2013-08-28,850.25,855.41,847.77,848.55,1329900,848.55
