Date,Open,High,Low,Close,Volume,Adj Close
2013-11-07,97.96,98.09,96.78,97.20,4921000,97.20
2013-11-06,97.66,98.19,97.47,97.90,4177200,97.90
2013-11-05,97.38,97.75,97.02,97.41,4338200,97.41
2013-11-04,97.26,97.50,96.83,97.31,5023900,97.31
2013-11-01,96.52,97.50,96.52,97.24,5127300,97.24
2013-10-31,96.20,96.70,96.11,96.52,4271300,96.52
2013-10-30,96.17,96.45,95.73,96.03,3404300,96.03
2013-10-29,95.62,96.10,95.30,96.05,3975100,96.05
2013-10-28,94.69,95.72,94.68,95.37,3836400,95.37
2013-10-25,94.78,94.95,94.36,94.78,3055900,94.78
2013-10-24,94.41,94.81,94.24,94.68,3640900,94.68
2013-10-23,95.08,95.20,93.93,94.21,4581200,94.21
2013-10-22,94.68,95.49,94.21,95.12,5144000,95.12
2013-10-21,93.70,94.85,93.24,94.59,9137700,94.59
2013-10-18,95.70,95.70,94.52,95.20,7286100,95.20
2013-10-17,95.19,95.52,94.65,95.47,3860500,95.47
2013-10-16,94.30,95.24,94.14,95.22,4708700,95.22
2013-10-15,93.99,94.20,93.45,93.80,5878900,93.80
2013-10-14,94.41,94.88,94.18,94.72,3429700,94.72
2013-10-11,94.69,94.80,94.33,94.74,4132600,94.74
2013-10-10,94.22,94.44,93.51,94.44,4531000,94.44
2013-10-09,93.82,93.96,93.14,93.27,5159400,93.27
2013-10-08,94.27,94.58,93.94,93.94,3643900,93.94
2013-10-07,94.26,94.80,94.14,94.36,3037100,94.36
2013-10-04,94.61,94.80,94.40,94.70,3047700,94.70
2013-10-03,95.15,95.21,94.61,94.67,4855700,94.67
2013-10-02,95.58,95.88,94.01,95.28,7250300,95.28
2013-10-01,96.18,96.39,95.85,96.13,3240700,96.13
2013-09-30,96.46,96.69,95.11,96.21,4404500,96.21
2013-09-27,97.89,97.99,97.00,97.12,3533100,97.12
2013-09-26,97.89,98.32,97.79,98.19,3604900,98.19
2013-09-25,97.80,97.99,97.41,97.62,4053200,97.62
2013-09-24,97.14,98.60,96.86,97.78,4810300,97.78
2013-09-23,96.97,97.58,96.82,97.28,3301600,97.28
2013-09-20,97.70,98.05,96.90,96.90,8077000,96.90
2013-09-19,98.50,98.51,97.00,97.92,6430800,97.92
2013-09-18,97.87,98.99,97.64,98.70,4279600,98.70
2013-09-17,97.58,98.36,97.49,97.92,3256900,97.92
2013-09-16,97.88,98.17,97.40,97.71,3490900,97.71
2013-09-13,97.34,97.65,97.13,97.35,2668700,97.35
2013-09-12,97.48,97.85,97.07,97.18,4277300,97.18
2013-09-11,96.66,97.46,96.37,97.46,3928600,97.46
2013-09-10,97.10,97.36,96.50,96.89,4984300,96.89
2013-09-09,96.22,96.79,96.21,96.45,3525200,96.45
2013-09-06,95.87,96.75,95.25,96.26,4485800,96.26
2013-09-05,95.33,96.46,95.08,95.66,4275300,95.66
2013-09-04,94.50,95.36,94.34,95.16,2898800,95.16
2013-09-03,95.10,95.28,94.12,94.52,3672100,94.52
2013-08-30,95.00,95.13,94.14,94.36,3993000,94.36
2013-08-29,95.65,95.98,94.70,94.86,4796600,94.86
2013-08-28,95.00,96.33,95.00,96.08,5482500,95.31
2013-08-27,94.86,95.19,94.01,94.84,4513100,94.08
2013-08-26,95.36,95.94,95.10,95.31,3060000,94.55
2013-08-23,95.57,95.68,94.91,95.13,12274200,94.37
2013-08-22,95.37,95.69,95.21,95.46,15364400,94.69
