Date,Open,High,Low,Close,Volume,Adj Close
2013-11-07,199.97,200.36,196.10,196.10,2708100,196.10
2013-11-06,198.74,200.19,197.39,199.02,2207300,199.02
2013-11-05,195.38,197.97,195.00,197.37,2764500,197.37
2013-11-04,199.68,200.00,196.19,196.42,2772300,196.42
2013-11-01,198.95,200.97,198.52,199.16,3308400,199.16
2013-10-31,197.05,198.90,194.26,196.67,5995300,196.67
2013-10-30,204.86,204.90,201.64,203.82,2967400,203.82
2013-10-29,203.48,205.25,203.48,204.24,2149900,204.24
2013-10-28,203.57,204.50,202.45,203.08,1713600,203.08
2013-10-25,203.74,203.90,201.52,203.06,2753600,203.06
2013-10-24,199.87,203.38,199.61,202.91,2221400,202.91
2013-10-23,198.68,199.11,197.18,198.89,1869100,198.89
2013-10-22,200.05,202.68,199.51,199.98,3050700,199.98
2013-10-21,201.05,201.68,199.26,200.04,2881500,200.04
2013-10-18,198.72,200.99,196.95,200.45,3596800,200.45
2013-10-17,195.67,198.75,195.47,198.28,3151300,198.28
2013-10-16,192.42,195.81,191.84,195.63,2595700,195.63
2013-10-15,193.03,194.42,191.37,191.37,2641900,191.37
2013-10-14,190.37,193.79,190.02,193.44,2230600,193.44
2013-10-11,188.80,192.20,187.50,192.20,2978800,192.20
2013-10-10,185.94,189.12,185.55,189.03,2716400,189.03
2013-10-09,183.40,184.70,180.11,183.85,3362000,183.85
2013-10-08,186.24,188.38,182.51,182.53,4009900,182.53
2013-10-07,187.95,187.95,186.32,186.33,2946300,186.33
2013-10-04,188.64,191.15,188.01,190.48,2341400,190.48
2013-10-03,191.99,192.11,187.74,188.65,4911500,188.65
2013-10-02,191.90,193.00,191.00,191.82,2178100,191.82
2013-10-01,191.29,193.61,190.07,193.22,2346200,193.22
2013-09-30,190.80,191.96,190.25,191.10,2390400,191.10
2013-09-27,191.99,193.71,191.81,193.05,1814600,193.05
2013-09-26,192.45,194.50,191.66,193.56,2331600,193.56
2013-09-25,193.27,194.00,190.68,191.56,2648700,191.56
2013-09-24,196.24,196.80,192.62,193.34,3824100,193.34
2013-09-23,197.96,200.86,196.00,196.24,4887900,196.24
2013-09-20,195.30,198.83,193.87,198.83,14426800,198.83
2013-09-19,194.53,198.00,194.01,194.71,3741600,194.71
2013-09-18,190.42,194.00,190.17,193.65,2618700,193.65
2013-09-17,189.32,191.90,188.56,191.60,2600200,191.60
2013-09-16,190.96,191.08,188.88,189.38,2845200,189.38
2013-09-13,185.49,189.30,185.20,189.00,4100900,189.00
2013-09-12,186.43,187.81,185.06,185.06,3553000,185.06
2013-09-11,185.00,186.53,182.91,186.31,2751500,186.31
2013-09-10,182.41,184.65,181.33,184.59,4876800,184.59
2013-09-09,177.28,178.65,177.28,178.55,2700400,178.55
2013-09-06,176.32,177.89,175.05,176.67,1674300,176.67
2013-09-05,176.13,176.70,175.23,176.21,1851700,176.21
2013-09-04,176.90,177.88,175.25,176.19,2438300,176.19
2013-09-03,176.03,178.40,175.25,177.02,3137600,177.02
2013-08-30,175.41,175.50,173.81,174.42,2471600,174.42
2013-08-29,175.11,177.28,174.79,175.37,2351200,175.37
2013-08-28,173.37,175.79,173.37,175.21,3918000,175.21
2013-08-27,172.98,175.08,172.57,174.17,3190600,174.17
2013-08-26,179.46,179.46,174.97,175.00,3447300,175.00
2013-08-23,180.40,180.59,177.62,179.10,2451800,179.10
2013-08-22,179.64,181.43,177.02,178.92,2646600,178.92
2013-08-21,173.26,181.50,172.52,178.39,7732700,178.39
2013-08-20,174.61,175.27,172.90,173.22,3533800,173.22
2013-08-19,172.33,176.89,172.21,174.98,2995500,174.98
